,run,epoch,loss,accuracy,epoch_duration,run_duration,lr,batch_size,shuffle
0,1,1,1.7281943725118694,0.534607111223586,12.421875,15.086815357208252,0.01,32,False
1,1,2,0.9021594830589869,0.7419967101100847,12.558419704437256,28.1249520778656,0.01,32,False
2,1,3,0.7916094621766689,0.7775528280399848,12.474674463272095,41.07635140419006,0.01,32,False
3,1,4,0.7267154901522135,0.8193091231178034,12.5953209400177,54.14936399459839,0.01,32,False
4,1,5,0.5789358248729336,0.8503100088573959,12.432873964309692,67.052978515625,0.01,32,False
5,1,6,0.4796474436695148,0.8684044033911174,12.448713064193726,79.97542452812195,0.01,32,False
6,1,7,0.44639885065058704,0.876755662406681,12.446718215942383,92.89388108253479,0.01,32,False
7,1,8,0.4474860689963749,0.8782740731367835,12.439736127853394,105.80735087394714,0.01,32,False
8,1,9,0.490360748612487,0.8713146906238137,12.425848007202148,118.70593452453613,0.01,32,False
9,1,10,0.4616765748182912,0.8777679362267493,12.438760757446289,131.61640286445618,0.01,32,False
10,1,11,0.41376088387480753,0.8896621536125522,12.395854234695435,144.4849717617035,0.01,32,False
11,1,12,0.45598520822922034,0.8809312919144628,12.50060486793518,157.45930933952332,0.01,32,False
12,1,13,0.654185105649245,0.8638491712008098,12.428804874420166,170.3658058643341,0.01,32,False
13,1,14,0.4126224321729546,0.8964950018980135,12.372916221618652,183.2114577293396,0.01,32,False
14,1,15,0.3809210306086993,0.9002910287232696,12.444723129272461,196.13091039657593,0.01,32,False
15,1,16,0.3640010080563182,0.9045931924585601,12.428806066513062,209.03444719314575,0.01,32,False
16,1,17,0.33041902787924027,0.912058711881564,12.416798114776611,221.9289674758911,0.01,32,False
17,1,18,0.3317191751640114,0.9126913830191067,12.451737403869629,234.85743021965027,0.01,32,False
18,1,19,0.383971422273389,0.9016829052258636,12.59834361076355,247.9304711818695,0.01,32,False
19,1,20,0.524071356352109,0.882829305327091,12.4217848777771,260.82296657562256,0.01,32,False
20,1,21,0.589916451587023,0.8725800328988992,12.409859895706177,273.7055621147156,0.01,32,False
21,1,22,0.4482367243568279,0.8881437428824497,12.431876420974731,286.6081793308258,0.01,32,False
22,1,23,0.41578268056034695,0.8986460837656586,12.392862558364868,299.4727804660797,0.01,32,False
23,1,24,0.3477373567545216,0.9073769454637479,12.403867721557617,312.34639143943787,0.01,32,False
24,1,25,0.3386622379056324,0.9118056434265469,12.477663516998291,325.2908020019531,0.01,32,False
