,run,epoch,loss,accuracy,epoch_duration,run_duration,lr,batch_size,shuffle
0,1,1,2158.948576996572,0.16031886625332153,10.951757907867432,13.797177791595459,0.3,128,False
1,1,2,17.679430056444893,0.18992787549032014,10.97671627998352,25.181769847869873,0.3,128,False
2,1,3,4.038183085574208,0.18891560167025181,10.968742847442627,36.549442529678345,0.3,128,False
3,1,4,5.208945327328229,0.19030747817284577,10.982712268829346,47.93607521057129,0.3,128,False
4,1,5,2.5579567616851393,0.18992787549032014,10.97070574760437,59.3076810836792,0.3,128,False
5,1,6,2.4696657783424314,0.1916993546754397,10.957710027694702,70.67429709434509,0.3,128,False
6,1,7,2.462399941885696,0.19030747817284577,10.9796884059906,82.05491375923157,0.3,128,False
7,1,8,2.2572547191459136,0.19018094394533722,11.031502962112427,93.48534893989563,0.3,128,False
8,1,9,2.2024136040914546,0.19030747817284577,10.97365689277649,104.85694098472595,0.3,128,False
9,1,10,2.1908616909841396,0.1904340124003543,10.974654197692871,116.23152565956116,0.3,128,False
10,1,11,2.3367593276052707,0.19030747817284577,10.99859070777893,127.62904977798462,0.3,128,False
11,1,12,2.5397843142845775,0.19018094394533722,10.991609573364258,139.0185947418213,0.3,128,False
12,1,13,2.237071193080604,0.19081361508287992,10.99163818359375,150.4101631641388,0.3,128,False
13,1,14,2.291020923002934,0.19068708085537137,10.98368215560913,161.79374647140503,0.3,128,False
14,1,15,2.3910943752570226,0.19056054662786284,10.97570013999939,173.1673822402954,0.3,128,False
15,1,16,2.191676791824752,0.19030747817284577,11.035491704940796,184.60180687904358,0.3,128,False
16,1,17,2.1921897558989167,0.19030747817284577,10.968701839447021,195.9704394340515,0.3,128,False
17,1,18,2.329933997695693,0.19068708085537137,10.964725732803345,207.34304308891296,0.3,128,False
18,1,19,2.2426003735231084,0.19018094394533722,10.97565221786499,218.7176275253296,0.3,128,False
19,1,20,2.443386865147877,0.19018094394533722,10.961688995361328,230.0782492160797,0.3,128,False
20,1,21,2.702216257343681,0.19068708085537137,10.983664274215698,241.46184420585632,0.3,128,False
21,1,22,2.2828162008790174,0.19081361508287992,10.966728210449219,252.8285026550293,0.3,128,False
22,1,23,2.2211814010564126,0.19005440971782867,10.994601488113403,264.22300386428833,0.3,128,False
23,1,24,2.44640903986965,0.1904340124003543,10.978668928146362,275.6115765571594,0.3,128,False
24,1,25,4.785110962114861,0.19119321776540554,11.051448822021484,287.0639533996582,0.3,128,False
