,run,epoch,loss,accuracy,epoch_duration,run_duration,lr,batch_size,shuffle
0,1,1,1.1477962547233704,0.6549411615842086,12.332038164138794,14.96202278137207,0.005,32,False
1,1,2,0.553752488913784,0.8480323927622422,12.340039253234863,27.78377389907837,0.005,32,False
2,1,3,0.5055342027994103,0.8638491712008098,12.329102754592896,40.592565059661865,0.005,32,False
3,1,4,0.4397778495963308,0.8780210046817665,12.409884691238403,53.48213839530945,0.005,32,False
4,1,5,0.3644400177523258,0.8962419334429963,12.378900527954102,66.3387610912323,0.005,32,False
5,1,6,0.3496709941203694,0.9035809186384917,12.407876253128052,79.2233612537384,0.005,32,False
6,1,7,0.361438203563905,0.9030747817284576,12.346992492675781,92.06004428863525,0.005,32,False
7,1,8,0.3573593238961858,0.9026951790459319,12.379925012588501,104.91968584060669,0.005,32,False
8,1,9,0.32352269904064135,0.9111729722890042,12.335016965866089,117.73239755630493,0.005,32,False
9,1,10,0.3750450508995447,0.9064912058711881,12.387974739074707,130.5980942249298,0.005,32,False
10,1,11,0.32832325747778457,0.9112995065165127,12.392862558364868,143.47164392471313,0.005,32,False
11,1,12,0.27709063176760024,0.9240794634948754,12.350974559783936,156.3033320903778,0.005,32,False
12,1,13,0.27173364986034493,0.9276224218651146,12.407849788665771,169.18790674209595,0.005,32,False
13,1,14,0.34411909692456083,0.9174996836644312,12.333082914352417,181.99768733978271,0.005,32,False
14,1,15,0.3252533606361863,0.9149689991142604,12.372935771942139,194.8533318042755,0.005,32,False
15,1,16,0.303126820926046,0.9239529292673668,12.364004850387573,207.69306468963623,0.005,32,False
16,1,17,0.2575866170401937,0.9340756674680502,12.379971027374268,220.5517439842224,0.005,32,False
17,1,18,0.2964841952418038,0.9281285587751487,12.378900051116943,233.4093360900879,0.005,32,False
18,1,19,0.26640258058028843,0.9312919144628622,12.376980304718018,246.26104593276978,0.005,32,False
19,1,20,0.2685210537295032,0.9316715171453879,12.384883403778076,259.1196622848511,0.005,32,False
20,1,21,0.29138987552783285,0.9304061748703024,12.325071811676025,271.92145895957947,0.005,32,False
21,1,22,0.27229329617464226,0.9315449829178792,12.381891965866089,284.78004789352417,0.005,32,False
22,1,23,0.24125041837075625,0.9390105023408832,12.339005947113037,297.5997679233551,0.005,32,False
23,1,24,0.23862065480628164,0.9386308996583576,12.366015911102295,310.44550108909607,0.005,32,False
24,1,25,0.2493155216184218,0.9387574338858661,12.372970581054688,323.2902102470398,0.005,32,False
